state/region,ages,year,population,area (sq. mi),population_density
AK,total,1990,553290.0,656425.0,0.8428838024145942
AK,total,1991,570193.0,656425.0,0.8686338881060288
AK,total,1992,588736.0,656425.0,0.8968823551814754
AK,total,1993,599434.0,656425.0,0.9131797235023041
AK,total,1994,603308.0,656425.0,0.9190813878203907
AK,total,1995,604412.0,656425.0,0.9207632250447499
AK,total,1996,608569.0,656425.0,0.9270960124919069
AK,total,1997,612968.0,656425.0,0.9337974635335339
AK,total,1998,619933.0,656425.0,0.9444079673991698
AK,total,1999,624779.0,656425.0,0.9517903797082683
AK,total,2000,627963.0,656425.0,0.9566408957611303
AK,total,2001,633714.0,656425.0,0.9654019880412842
AK,total,2002,642337.0,656425.0,0.9785382945500247
AK,total,2003,648414.0,656425.0,0.9877960163004151
AK,total,2004,659286.0,656425.0,1.0043584567924744
AK,total,2005,666946.0,656425.0,1.0160277259397494
AK,total,2006,675302.0,656425.0,1.0287572837719465
AK,total,2007,680300.0,656425.0,1.036371253380051
AK,total,2008,687455.0,656425.0,1.0472712038694443
AK,total,2009,698895.0,656425.0,1.0646989374262101
AK,total,2010,713868.0,656425.0,1.087508854781582
AK,total,2011,723375.0,656425.0,1.1019918497924364
AK,total,2012,730307.0,656425.0,1.1125520813497354
AK,total,2013,735132.0,656425.0,1.1199025021898923
AK,under18,1990,177502.0,656425.0,0.2704071295273641
AK,under18,1991,182180.0,656425.0,0.2775336100849297
AK,under18,1992,184878.0,656425.0,0.2816437521422859
AK,under18,1993,187190.0,656425.0,0.2851658605324294
AK,under18,1994,187439.0,656425.0,0.28554518794988004
AK,under18,1995,184990.0,656425.0,0.2818143733099745
AK,under18,1996,185360.0,656425.0,0.2823780325246601
AK,under18,1997,188280.0,656425.0,0.28682637011082757
AK,under18,1998,192636.0,656425.0,0.2934623148112884
AK,under18,1999,191422.0,656425.0,0.29161290322580646
AK,under18,2000,190615.0,656425.0,0.29038351677647867
AK,under18,2001,188771.0,656425.0,0.2875743611227482
AK,under18,2002,188482.0,656425.0,0.2871340975739803
AK,under18,2003,186843.0,656425.0,0.2846372395932513
AK,under18,2004,186335.0,656425.0,0.2838633507255208
AK,under18,2005,185304.0,656425.0,0.2822927219408158
AK,under18,2006,185580.0,656425.0,0.2827131812469056
AK,under18,2007,184344.0,656425.0,0.2808302547891991
AK,under18,2008,183124.0,656425.0,0.2789717027840195
AK,under18,2009,186351.0,656425.0,0.2838877251780478
AK,under18,2010,187902.0,656425.0,0.2862505236698785
AK,under18,2011,188329.0,656425.0,0.28690101687169134
