state/region,ages,year,population,area (sq. mi),population_density
AK,total,1990,553290,656425,0.8428838024
AK,total,1991,570193,656425,0.8686338881
AK,total,1992,588736,656425,0.8968823552
AK,total,1993,599434,656425,0.9131797235
AK,total,1994,603308,656425,0.9190813878
AK,total,1995,604412,656425,0.920763225
AK,total,1996,608569,656425,0.9270960125
AK,total,1997,612968,656425,0.9337974635
AK,total,1998,619933,656425,0.9444079674
AK,total,1999,624779,656425,0.9517903797
AK,total,2000,627963,656425,0.9566408958
AK,total,2001,633714,656425,0.965401988
AK,total,2002,642337,656425,0.9785382946
AK,total,2003,648414,656425,0.9877960163
AK,total,2004,659286,656425,1.004358457
AK,total,2005,666946,656425,1.016027726
AK,total,2006,675302,656425,1.028757284
AK,total,2007,680300,656425,1.036371253
AK,total,2008,687455,656425,1.047271204
AK,total,2009,698895,656425,1.064698937
AK,total,2010,713868,656425,1.087508855
AK,total,2011,723375,656425,1.10199185
AK,total,2012,730307,656425,1.112552081
AK,total,2013,735132,656425,1.119902502
AK,under18,1990,177502,656425,0.2704071295
AK,under18,1991,182180,656425,0.2775336101
AK,under18,1992,184878,656425,0.2816437521
AK,under18,1993,187190,656425,0.2851658605
AK,under18,1994,187439,656425,0.2855451879
AK,under18,1995,184990,656425,0.2818143733
AK,under18,1996,185360,656425,0.2823780325
AK,under18,1997,188280,656425,0.2868263701
AK,under18,1998,192636,656425,0.2934623148
AK,under18,1999,191422,656425,0.2916129032
AK,under18,2000,190615,656425,0.2903835168
AK,under18,2001,188771,656425,0.2875743611
AK,under18,2002,188482,656425,0.2871340976
AK,under18,2003,186843,656425,0.2846372396
AK,under18,2004,186335,656425,0.2838633507
AK,under18,2005,185304,656425,0.2822927219
AK,under18,2006,185580,656425,0.2827131812
AK,under18,2007,184344,656425,0.2808302548
AK,under18,2008,183124,656425,0.2789717028
AK,under18,2009,186351,656425,0.2838877252
AK,under18,2010,187902,656425,0.2862505237
AK,under18,2011,188329,656425,0.2869010169
AK,under18,2012,188162,656425,0.2866466085
AK,under18,2013,188132,656425,0.2866009064
AL,total,1990,4050055,52423,77.25721534
AL,total,1991,4099156,52423,78.19384621
AL,total,1992,4154014,52423,79.24029529
AL,total,1993,4214202,52423,80.3884173
AL,total,1994,4260229,52423,81.26640978
AL,total,1995,4296800,52423,81.96402342
AL,total,1996,4331103,52423,82.61837361
AL,total,1997,4367935,52423,83.32096599
AL,total,1998,4404701,52423,84.02229937
AL,total,1999,4430141,52423,84.50758255
AL,total,2000,4452173,52423,84.92785609
AL,total,2001,4467634,52423,85.22278389
AL,total,2002,4480089,52423,85.46037045
AL,total,2003,4503491,52423,85.90677756
AL,total,2004,4530729,52423,86.42635866
AL,total,2005,4569805,52423,87.17175667
AL,total,2006,4628981,52423,88.30057418
AL,total,2007,4672840,52423,89.13721077
AL,total,2008,4718206,52423,90.00259428
AL,total,2009,4757938,52423,90.76050588
AL,total,2010,4785570,52423,91.28760277
AL,total,2011,4801627,52423,91.59389962
AL,total,2012,4817528,52423,91.89722069
AL,total,2013,4833722,52423,92.2061309
AL,under18,1990,1050041,52423,20.03015852
AL,under18,1991,1060794,52423,20.23527841
AL,under18,1992,1072873,52423,20.46569254
AL,under18,1993,1085606,52423,20.70858211
AL,under18,1994,1097180,52423,20.92936307
AL,under18,1995,1110553,52423,21.18446102
AL,under18,1996,1112092,52423,21.21381836
AL,under18,1997,1122893,52423,21.41985388
AL,under18,1998,1118252,52423,21.33132404
AL,under18,1999,1121287,52423,21.38921847
AL,under18,2000,1122273,52423,21.40802701
AL,under18,2001,1120409,52423,21.3724701
AL,under18,2002,1116590,52423,21.2996204
AL,under18,2003,1113083,52423,21.23272228
AL,under18,2004,1113662,52423,21.24376705
AL,under18,2005,1117229,52423,21.3118097
AL,under18,2006,1126798,52423,21.49434409
AL,under18,2007,1132296,52423,21.59922172
AL,under18,2008,1134927,52423,21.64940961
AL,under18,2009,1134192,52423,21.63538905
AL,under18,2010,1130966,52423,21.57385117
AL,under18,2011,1125763,52423,21.47460084
AL,under18,2012,1117489,52423,21.31676936
AL,under18,2013,1111481,52423,21.20216317
AR,total,1990,2356586,53182,44.31172201
AR,total,1991,2383144,53182,44.8111015
AR,total,1992,2415984,53182,45.42860366
AR,total,1993,2456303,53182,46.18673611
AR,total,1994,2494019,53182,46.89592343
AR,total,1995,2535399,53182,47.67400624
AR,total,1996,2572109,53182,48.36427739
AR,total,1997,2601091,53182,48.90923621
AR,total,1998,2626289,53182,49.38304313
AR,total,1999,2651860,53182,49.86386371
AR,total,2000,2678588,53182,50.36643977
AR,total,2001,2691571,53182,50.61056372
AR,total,2002,2705927,53182,50.88050468
AR,total,2003,2724816,53182,51.23568125
AR,total,2004,2749686,53182,51.70332067
AR,total,2005,2781097,53182,52.29395284
AR,total,2006,2821761,53182,53.05857245
AR,total,2007,2848650,53182,53.56417585
AR,total,2008,2874554,53182,54.05125794
AR,total,2009,2896843,53182,54.47036591
AR,total,2010,2922280,53182,54.94866684
AR,total,2011,2938506,53182,55.25377007
AR,total,2012,2949828,53182,55.46666165
AR,total,2013,2959373,53182,55.64613967
AR,under18,1990,620933,53182,11.67562333
AR,under18,1991,626212,53182,11.77488624
AR,under18,1992,638269,53182,12.00159829
